DATASET,WEIGHT,SMOOTH,FREQ,METHOD,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,Uniform,False,1.1,ODR,-3.5770813108934147,-3.573875233301441,-3.5802741394420314,-1318.589763738519,57.347576796140345,57.243926082084215,0.009219206297399536,0.009065696786050402,-0.03300728589276068,0.9954266500275086,7.232275684738529e-05,0.9654191975747565,0.9429696194116872,4.197967379738386e-20,27.25,-97.48927260532719,-97.40189461606931,-97.57628950701468,0.251258956064226,0.2470752293611591,-0.89957594269995
Horizontal_Copolar,Uniform,False,1.125,ODR,-3.5625277879117045,-3.5591680980650238,-3.5658870468460275,-1314.7726797403084,57.34931398412956,57.24523400613833,0.04001409415949374,0.039852147299027384,-0.142685740054616,0.9933798928474752,0.00010932567585284335,0.7198358467204231,0.49243785106712834,5.254525673085436e-20,26.65,-94.93501886500913,-94.84548911591988,-95.02453713105172,1.066304323797162,1.061988728475865,-3.8023207762242124
Horizontal_Copolar,Uniform,False,1.15,ODR,-3.786911258164653,-3.78337686074634,-3.790477826443724,-1396.037928425244,57.34897395973828,57.24234319764555,0.00330166645307233,0.0034631774348850984,-0.012514893480683766,0.9943404487327755,7.541785410596926e-05,0.9051882462410844,0.702688650071809,8.620717186381965e-19,26.07,-98.7206464620047,-98.62850857595383,-98.8136230073097,0.08607084360545178,0.09028125875602945,-0.3262496241897706
Horizontal_Copolar,Uniform,False,1.175,ODR,-3.735861917835745,-3.7325266290270878,-3.739232371973554,-1378.3234556262905,57.347506159994104,57.24585312462801,0.0013751426680286426,0.0015264467620551285,-0.005141977980374783,0.9966108580038437,3.982407527528263e-05,0.9989242904514122,0.9780177907450375,2.7193859171426572e-18,25.51,-95.31772145502741,-95.23262405672212,-95.40371607039337,0.03508573621693488,0.0389461469619275,-0.13119372065688784
Horizontal_Copolar,Uniform,False,1.2,ODR,-3.726279620698491,-3.7231267386915348,-3.72944776478684,-1375.5741920347461,57.34402455033016,57.2482729132297,0.004626582715452936,0.004749802886448003,-0.01725459856674738,0.9960979306938498,4.126632537267862e-05,0.9985504587573024,0.9750686445483481,5.962308131807138e-18,24.98,-93.0925438903757,-93.01377636982157,-93.17169269900438,0.11558455036716253,0.11866292352864513,-0.4310665430107062
Horizontal_Copolar,Uniform,False,1.225,ODR,-3.9319140951457423,-3.9265723847869243,-3.9373540636689857,-1450.8773259813286,57.37301011653826,57.219789815291065,0.0094172484630317,0.009624658135389617,-0.037079041504498374,0.992336930467914,9.06502607076338e-05,0.8772005502734104,0.41397027807156755,9.836178654470933e-18,24.47,-96.22515846763984,-96.0944315714444,-96.3582900215195,0.23046694402685677,0.23554285059740002,-0.9074299586055172
Horizontal_Copolar,Uniform,False,1.25,ODR,-4.202732167959662,-4.198675960684899,-4.206897527663073,-1548.4317553078647,57.35186801562492,57.24254950997322,0.02278751655584184,0.022637805185045837,-0.09586474706035238,0.9970222844045853,3.649561113933742e-05,0.99447087082132,0.9025824944167903,1.448401751372323e-17,23.98,-100.79579255586367,-100.69851092793898,-100.89569202977884,0.5465220479993215,0.5429314608120028,-2.299162252541705
Horizontal_Copolar,Uniform,False,1.275,ODR,-4.073259321316921,-4.069707810121416,-4.076937816676906,-1502.4974274160086,57.34751346119522,57.24556910427801,0.015717501219941116,0.015576369606364625,-0.06407927510724333,0.9963621894281689,3.7474876218778206e-05,0.9946523799049974,0.9679631089866633,4.594586441083715e-17,23.51,-95.77509207913815,-95.69158492063502,-95.8615850333116,0.3695677117132663,0.3662492651771406,-1.506704579706564
Horizontal_Copolar,Uniform,False,1.3,ODR,-4.079424189961711,-4.072857403007896,-4.08604296644337,-1505.7679370391488,57.39158595049672,57.205026332327414,0.009305089666674825,0.009068217533505108,-0.03802099618464155,0.9907358807960103,9.5743227274316e-05,0.6648357819280066,0.2788029160571654,5.0679247103016367e-17,23.06,-94.07543116409848,-93.92399476394105,-94.22806649258995,0.21458428485252665,0.20912178646524565,-0.8768006078309472
Horizontal_Copolar,Uniform,True,0.9,ODR,-3.36212118222825,-3.35833422177087,-3.3658608813035893,-1236.6968064296816,57.36081076806194,57.232991105031765,0.015908350082513154,0.016122613092098368,-0.05354529322881375,0.987542385344828,0.00045907366935480027,0.4909328269497629,0.10800780922968767,5.076247349908175e-25,33.31,-111.99317481267477,-111.86703012557845,-112.11774521022768,0.52991148599568,0.5370486453625722,-1.7836083412663144
Horizontal_Copolar,Uniform,True,0.925,ODR,-3.4611634072808473,-3.4583088351012807,-3.4639298698646055,-1273.461743513154,57.341872543304596,57.250468148128306,0.005325931672461904,0.005465242603312209,-0.018448653805098744,0.9920533765300938,0.000265078301968277,0.6367996399978388,0.13441979335135837,5.413110579530558e-24,32.41,-112.17629031441949,-112.08377364304104,-112.26595135419785,0.17261342132188162,0.17712848795819308,-0.5979207860563898
Horizontal_Copolar,Uniform,True,0.95,ODR,-3.3579662643755896,-3.3555244875518317,-3.3603754435151556,-1235.3644106719648,57.33668235705546,57.25509963177847,0.009572175952263309,0.009454931390151083,-0.03216610501099192,0.9931617228503647,0.0001864941173918731,0.9999907605633102,0.9952486432790446,2.363582895880411e-23,31.56,-105.96768002928799,-105.89062463182674,-106.04370673834197,0.3020701218039482,0.2983702233341842,-1.0150690195296195
Horizontal_Copolar,Uniform,True,0.975,ODR,-3.594449716442796,-3.5911465444631565,-3.5978135010098367,-1321.1402530917235,57.34943523117158,57.24410574168579,0.011856974320590425,0.012055228194181542,-0.042659182291747165,0.994016625651635,0.000158565447918938,0.9812141254433405,0.9052627264915449,2.350340337075883e-22,30.75,-110.52194006664502,-110.42037431823753,-110.62536952752045,0.36457758728335216,0.3706734863676498,-1.3116821656936364
Horizontal_Copolar,Uniform,True,1.0,ODR,-3.8264618341687227,-3.8210804632581103,-3.8320813250506416,-1407.0647529349515,57.37710967051466,57.21367908144309,0.03517557435818117,0.035444960109174035,-0.13479566159591627,0.9831319687050617,0.00044678937068528266,0.6221840553252621,0.18761407787239476,2.7036730521831367e-21,29.98,-114.71443987086298,-114.55311042959276,-114.88290796928288,1.0545371898400906,1.0626131714841234,-4.041072271757594
Horizontal_Copolar,Uniform,True,1.025,ODR,-3.5361899780844466,-3.532210736886343,-3.5401346548462236,-1302.2183303368333,57.361568958246956,57.232194124815386,0.018936777830312414,0.019141245887965626,-0.06703874344821266,0.9863784828186835,0.00027645151792282603,0.7305433777500268,0.535898476863694,6.603385783293894e-21,29.25,-103.42664248633194,-103.31025746196568,-103.5420165685201,0.5538637241316358,0.5598440150181081,-1.9607521638605923
