DATASET,WEIGHT,SMOOTH,FREQ,ANGLE,PHASE,PREDICTED
Horizontal_Copolar,Amplitude,False,0.9,-0.10035643198967395,-0.11662290061826108,-0.10382759609894165
Horizontal_Copolar,Amplitude,False,0.9,-0.09599310885968812,-0.10140362954087045,-0.0944276056240767
Horizontal_Copolar,Amplitude,False,0.9,-0.0916297857297023,-0.08709192967451695,-0.08548232909912912
Horizontal_Copolar,Amplitude,False,0.9,-0.08726646259971647,-0.07367034772668046,-0.0769919368292804
Horizontal_Copolar,Amplitude,False,0.9,-0.08290313946973066,-0.0611388836973612,-0.06895659045935076
Horizontal_Copolar,Amplitude,False,0.9,-0.07853981633974483,-0.04897393881096068,-0.0613764429707544
Horizontal_Copolar,Amplitude,False,0.9,-0.074176493209759,-0.03811799086355605,-0.05425163867857563
Horizontal_Copolar,Amplitude,False,0.9,-0.06981317007977318,-0.029059732045705333,-0.04758231322882267
Horizontal_Copolar,Amplitude,False,0.9,-0.06544984694978737,-0.019949113350295145,-0.04136859359582701
Horizontal_Copolar,Amplitude,False,0.9,-0.061086523819801536,-0.01144935989308249,-0.035610598079856004
Horizontal_Copolar,Amplitude,False,0.9,-0.056723200689815706,-0.0041713369122662325,-0.030308436304849806
Horizontal_Copolar,Amplitude,False,0.9,-0.05235987755982988,0.001378810109075701,-0.0254622092163288
Horizontal_Copolar,Amplitude,False,0.9,-0.04799655442984406,0.005881759579221102,-0.02107200907946094
Horizontal_Copolar,Amplitude,False,0.9,-0.04363323129985824,0.009058258817850717,-0.017137919477331565
Horizontal_Copolar,Amplitude,False,0.9,-0.039269908169872414,0.011135200627724107,-0.013660015309341134
Horizontal_Copolar,Amplitude,False,0.9,-0.03490658503988659,0.013299408900196985,-0.010638362789762823
Horizontal_Copolar,Amplitude,False,0.9,-0.030543261909900768,0.014416419621473331,-0.008073019446516838
Horizontal_Copolar,Amplitude,False,0.9,-0.026179938779914945,0.014241886696273909,-0.005964034120029993
Horizontal_Copolar,Amplitude,False,0.9,-0.021816615649929122,0.012444197566719772,-0.004311446962351084
Horizontal_Copolar,Amplitude,False,0.9,-0.017453292519943295,0.010751228192285245,-0.0031152894363550843
Horizontal_Copolar,Amplitude,False,0.9,-0.013089969389957472,0.008272860654453318,-0.002375584315160495
Horizontal_Copolar,Amplitude,False,0.9,-0.008726646259971648,0.005724679946541578,-0.002092345681678154
Horizontal_Copolar,Amplitude,False,0.9,-0.004363323129985824,0.002932153143350602,-0.0022655789283696492
Horizontal_Copolar,Amplitude,False,0.9,0.0,0.0,-0.0028952807571229755
Horizontal_Copolar,Amplitude,False,0.9,0.004363323129985825,-0.002949606435870278,-0.003981439179323587
Horizontal_Copolar,Amplitude,False,0.9,0.008726646259971648,-0.006597344572538466,-0.0055240335160782195
Horizontal_Copolar,Amplitude,False,0.9,0.01308996938995747,-0.010698868314725107,-0.007523034398616346
Horizontal_Copolar,Amplitude,False,0.9,0.0174532925199433,-0.015934856070707992,-0.009978403768837296
Horizontal_Copolar,Amplitude,False,0.9,0.021816615649929122,-0.0211708438266911,-0.012890094880059877
Horizontal_Copolar,Amplitude,False,0.9,0.026179938779914945,-0.02617993877991487,-0.016258052297875025
Horizontal_Copolar,Amplitude,False,0.9,0.030543261909900768,-0.030874874467779367,-0.02008221190122228
Horizontal_Copolar,Amplitude,False,0.9,0.03490658503988659,-0.035918876006043154,-0.024362500883626126
Horizontal_Copolar,Amplitude,False,0.9,0.039269908169872414,-0.04185299546282395,-0.029098837754546025
Horizontal_Copolar,Amplitude,False,0.9,0.043633231299858244,-0.04782202150464454,-0.034291132340957375
Horizontal_Copolar,Amplitude,False,0.9,0.04799655442984407,-0.05426228644450348,-0.039939285789060364
Horizontal_Copolar,Amplitude,False,0.9,0.05235987755982989,-0.061592669302879655,-0.04604319056615225
Horizontal_Copolar,Amplitude,False,0.9,0.056723200689815706,-0.06932447788921459,-0.052602730462680825
Horizontal_Copolar,Amplitude,False,0.9,0.061086523819801536,-0.07714355293814923,-0.059617780594464875
Horizontal_Copolar,Amplitude,False,0.9,0.06544984694978737,-0.08515461420480297,-0.06708820740506383
Horizontal_Copolar,Amplitude,False,0.9,0.06981317007977318,-0.0928515162060981,-0.07501386866831439
Horizontal_Copolar,Amplitude,False,0.9,0.07417649320975901,-0.1009847505203918,-0.08339461349105548
Horizontal_Copolar,Amplitude,False,0.9,0.07853981633974483,-0.10974630336540336,-0.09223028231598818
Horizontal_Copolar,Amplitude,False,0.9,0.08290313946973066,-0.11847294962537491,-0.10152070692470971
Horizontal_Copolar,Amplitude,False,0.9,0.08726646259971647,-0.12777555453850464,-0.11126571044092515
Horizontal_Copolar,Amplitude,False,0.9,0.0916297857297023,-0.13802063724771152,-0.12146510733381888
Horizontal_Copolar,Amplitude,False,0.9,0.09599310885968813,-0.14828317324943807,-0.1321187034215754
