DATASET,WEIGHT,SMOOTH,FREQ,METHOD,ANGLE,PHASE,PREDICTED
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.06544984694978737,-0.019949113350295145,-0.05564036170183684
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.061086523819801536,-0.01144935989308249,-0.05003340444612547
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.056723200689815706,-0.0041713369122662325,-0.044855921236994334
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.05235987755982988,0.001378810109075701,-0.040107072535388255
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.04799655442984406,0.005881759579221102,-0.035772524586558774
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.04363323129985824,0.009058258817850717,-0.03185086049827035
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.039269908169872414,0.011135200627724107,-0.0283365354046623
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.03490658503988659,0.013299408900196985,-0.025222059960924526
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.030543261909900768,0.014416419621473331,-0.02251351469928764
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.026179938779914945,0.014241886696273909,-0.02021023686586787
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.021816615649929122,0.012444197566719772,-0.018311438447859985
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.017453292519943295,0.010751228192285245,-0.016814448612109345
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.013089969389957472,0.008272860654453318,-0.015722460043878783
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.008726646259971648,0.005724679946541578,-0.015036653945735168
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.004363323129985824,0.002932153143350602,-0.014759076250353331
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.0,0.0,-0.014892315124214406
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.004363323129985825,-0.002949606435870278,-0.015435047852733419
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.008726646259971648,-0.006597344572538466,-0.016391551583982533
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.01308996938995747,-0.010698868314725107,-0.017762262673297613
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.0174532925199433,-0.015934856070707992,-0.01955016969820278
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.021816615649929122,-0.0211708438266911,-0.02175532067770547
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.026179938779914945,-0.02617993877991487,-0.02437716899120801
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.030543261909900768,-0.030874874467779367,-0.027414287392268477
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.03490658503988659,-0.035918876006043154,-0.030869261448433605
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.039269908169872414,-0.04185299546282395,-0.03474722706907585
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.043633231299858244,-0.04782202150464454,-0.039042604368194844
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.04799655442984407,-0.05426228644450348,-0.04375955872909287
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.05235987755982989,-0.061592669302879655,-0.04890534931701751
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.056723200689815706,-0.06932447788921459,-0.054475808165090456
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.061086523819801536,-0.07714355293814923,-0.06046569972189886
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.06544984694978737,-0.08515461420480297,-0.06687565342464197
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.06981317007977318,-0.0928515162060981,-0.07369189713045898
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.07417649320975901,-0.1009847505203918,-0.08092954406626163
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.07853981633974483,-0.10974630336540336,-0.08859503980746908
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.08290313946973066,-0.11847294962537491,-0.09666790183877083
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.08726646259971647,-0.12777555453850464,-0.10516696046504137
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.0916297857297023,-0.13802063724771152,-0.11410931145426773
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.09599310885968813,-0.14828317324943807,-0.1234591685351738
Horizontal_Copolar,Amplitude,False,0.9,ODR,0.10035643198967395,-0.159732533142521,-0.13326974031762973
