ANGLE,PHASE,PREDICTED,DATASET,WEIGHT,SMOOTH,METHOD,BOOTSTRAP,FREQ,RESIDUALS
-0.09599310885968812,-0.10140362954087045,-0.0988629911129486,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.0025406384279218486
-0.0916297857297023,-0.08709192967451695,-0.08955881920491038,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.0024668895303934235
-0.08726646259971647,-0.07367034772668046,-0.08071771324891586,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.007047365522235394
-0.08290313946973066,-0.0611388836973612,-0.07233984156687256,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.011200957869511363
-0.07853981633974483,-0.04897393881096068,-0.0644253636613854,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.015451424850424722
-0.074176493209759,-0.03811799086355605,-0.056974430212694216,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.018856439349138165
-0.06981317007977318,-0.029059732045705333,-0.04998718307584582,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.020927451030140487
-0.06544984694978737,-0.019949113350295145,-0.043463755277944216,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02351464192764907
-0.061086523819801536,-0.01144935989308249,-0.037404271015656576,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.025954911122574087
-0.056723200689815706,-0.0041713369122662325,-0.03180884565282582,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02763750874055959
-0.05235987755982988,0.001378810109075701,-0.02667758571828216,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02805639582735786
-0.04799655442984406,0.005881759579221102,-0.022010588903825123,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.027892348483046225
-0.04363323129985824,0.009058258817850717,-0.017807944062340653,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02686620288019137
-0.039269908169872414,0.011135200627724107,-0.014069731206134861,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.025204931833858968
-0.03490658503988659,0.013299408900196985,-0.010796021505385056,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02409543040558204
-0.030543261909900768,0.014416419621473331,-0.007986877286814575,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.022403296908287906
-0.026179938779914945,0.014241886696273909,-0.005642352032467102,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.01988423872874101
-0.021816615649929122,0.012444197566719772,-0.0037624903787332187,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.01620668794545299
-0.017453292519943295,0.010751228192285245,-0.002347328115469338,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.013098556307754583
-0.013089969389957472,0.008272860654453318,-0.0013968921853191318,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.00966975283977245
-0.008726646259971648,0.005724679946541578,-0.0009112006832125985,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.006635880629754176
-0.004363323129985824,0.002932153143350602,-0.0008902628560250037,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.0038224159993756057
0.0,0.0,-0.0013340791023743748,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.0013340791023743748
0.004363323129985825,-0.002949606435870278,-0.002242640972639265,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.000706965463231013
0.008726646259971648,-0.006597344572538466,-0.003615931169115072,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.002981413403423394
0.01308996938995747,-0.010698868314725107,-0.005453923546333783,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.005244944768391324
0.0174532925199433,-0.015934856070707992,-0.007756583111572013,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.00817827295913598
0.021816615649929122,-0.0211708438266911,-0.010523866025508255,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.010646977801182844
0.026179938779914945,-0.02617993877991487,-0.013755719603068428,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.01242421917684644
