DATASET,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,METHOD,SMOOTH,WEIGHT,BOOTSTRAP,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_lambda,DZ_err_low_lambda,DZ_err_high_lambda,DZ_phys,DZ_err_low_phys,DZ_err_high_phys
Vertical_Copolar,0.95,23.755562358513178,0.6034499107288396,0.6034499107288396,-1362.45622550972,34.502590186362625,34.502590186362625,0.08345236817518431,0.005026772991541736,0.09604203620085779,OLS,Raw,s_AMP,1,0.9424662368802128,0.002155517315901469,0.8677465024816947,0.6492601138898826,1.5279660385571285e-23,31.56,3.6660032500136084,0.09312552995233782,0.09312552995233782,115.68843424816508,2.9387717396804187,2.9387717396804187
Vertical_Copolar,0.975,23.213479109945883,0.23094887212534376,0.23094887212534376,-1329.7857150307746,13.197400507230528,13.197400507230528,0.02311505818349614,0.0018180630804234146,0.0367566546002465,OLS,Raw,s_AMP,1,0.9883056048395857,0.00025690385470827107,0.9401836283504851,0.6839059608692394,3.6760850740383265e-22,30.75,3.9482473845193207,0.039280767695691665,0.039280767695691665,121.40049109714033,1.207802861499323,1.207802861499323
Vertical_Copolar,1.0,22.45822922857784,0.9159841457582506,0.9159841457582506,-1288.288543998062,52.36679178677102,52.36679178677102,0.010659524784476007,0.006719319043251643,0.14578340459123273,OLS,Raw,s_AMP,1,0.9203628640891609,0.0012940620037573773,0.5177816444758276,0.6712813718081443,3.2472878911432757e-20,29.98,4.264418042337526,0.1739290875478327,0.1739290875478327,127.84403668519151,5.214262867366196,5.214262867366196
Vertical_Copolar,1.025,22.418935235207787,0.49290891207631127,0.49290891207631127,-1283.8870878267487,28.181327124428744,28.181327124428744,0.006805155683950054,0.0033385862103558965,0.07844888985099337,OLS,Raw,s_AMP,1,0.969401724684504,0.0006919543102930957,0.7615299707760739,0.4229637996512901,6.1901176726482114e-21,29.25,4.466640781545104,0.09820479987869844,0.09820479987869844,130.64050916121442,2.8722983749300597,2.8722983749300597
Vertical_Copolar,1.05,26.344831805350644,0.3090914172548541,0.3090914172548541,-1509.0055483957783,17.658877380393758,17.658877380393758,0.012306739641721864,0.002226628410661791,0.049193426923389585,OLS,Raw,s_AMP,1,0.9927670464641798,0.000158456714794934,0.8753926221845812,0.5072371472538678,3.456902187287957e-20,28.55,4.037783842268267,0.04737340285930278,0.04737340285930278,115.28544218536075,1.352589417810915,1.352589417810915
Vertical_Copolar,1.075,30.074565544337105,0.6830780585170024,0.6830780585170024,-1724.2114986701492,39.0486912487747,39.0486912487747,0.014385599240711793,0.004397066043126848,0.10871524953059587,OLS,Raw,s_AMP,1,0.9442609128541252,0.0012338039309420551,0.4401350087269744,0.29971358201044696,3.460189589199786e-20,27.89,3.640147187220867,0.0826779914641578,0.0826779914641578,101.51522537104464,2.3056965845156174,2.3056965845156174
Vertical_Copolar,1.1,22.591243249015793,0.3737695898952561,0.3737695898952561,-1294.0644868503412,21.36470611457297,21.36470611457297,0.007470312848897807,0.0023656273111480005,0.059487277809260546,OLS,Raw,s_AMP,1,0.9918443959417376,0.0001212625449867166,0.9726368266473313,0.8488414347439219,1.2491678894872976e-19,27.25,5.027123827199957,0.08317320080766505,0.08317320080766505,137.00852807514931,2.26679075544159,2.26679075544159
Vertical_Copolar,1.125,24.072247033270834,0.32146530279392344,0.32146530279392344,-1378.8874275727978,18.380231804515923,18.380231804515923,0.027925320724238006,0.002012067048233948,0.05116279197218579,OLS,Raw,s_AMP,1,0.9949999312872216,7.340932628444591e-05,0.9682944971611618,0.8385708439169026,2.9236224581498256e-19,26.65,4.987383660126879,0.06660245702182409,0.06660245702182409,132.90488946297543,1.7748368266144003,1.7748368266144003
Vertical_Copolar,1.15,23.464723678171154,0.6466477101225345,0.6466477101225345,-1343.9610382970461,36.98252237442742,36.98252237442742,0.01895354194281959,0.003989185066931693,0.10291717950505641,OLS,Raw,s_AMP,1,0.9870250995457454,0.00016128621069230815,0.990034472908064,0.9806242533581482,2.025217073970192e-18,26.07,5.2800429110636795,0.14550896505823088,0.14550896505823088,137.6449602307179,3.793260025725491,3.793260025725491
Vertical_Copolar,1.175,29.246799292607,1.3949385858829644,1.3949385858829644,-1675.0934305050732,79.78969435404329,79.78969435404329,0.06487367612234811,0.008846189544216206,0.22201137125289216,OLS,Raw,s_AMP,1,0.7747295965605546,0.0028309194439186205,0.35618863298055803,0.3233499949874755,1.3008928076701093e-16,25.51,4.555765901624021,0.21728920080604028,0.21728920080604028,116.2369581038682,5.543971370765821,5.543971370765821
Vertical_Copolar,1.2,23.91557746510274,0.16904714909745044,0.16904714909745044,-1370.1406752165547,9.67078935240631,9.67078935240631,0.00267976024962782,0.0010708312270017173,0.026904689394451873,OLS,Raw,s_AMP,1,0.9937224814257641,7.009703830730918e-05,0.9999991611560047,0.9999708747063956,1.943972739634258e-18,24.98,5.600225114119647,0.03958516541058999,0.03958516541058999,139.90877102627164,0.988944503231446,0.988944503231446
Vertical_Copolar,1.225,22.686890162657765,0.4728374833846328,0.4728374833846328,-1299.9683932634082,27.04409849203654,27.04409849203654,0.004489727059228517,0.002835050832723675,0.07525442275979624,OLS,Raw,s_AMP,1,0.97724927549655,0.00021145911324403022,0.9999670368053292,0.999960530775474,1.797119673122031e-17,24.47,5.991745677746925,0.12487925524538739,0.12487925524538739,146.63511546470423,3.056151745569313,3.056151745569313
Vertical_Copolar,1.25,24.860354704305056,0.8333180834087828,0.8333180834087828,-1424.5406018008239,47.66123933704319,47.66123933704319,0.0765278016738784,0.0045215838127192045,0.1326266921423721,OLS,Raw,s_AMP,1,0.9323002948136414,0.0006265175393165626,0.5520542479261168,0.7906561065069353,5.638885677549442e-17,23.98,5.841796958237714,0.19581679758008064,0.19581679758008064,140.1061335397606,4.696351925137666,4.696351925137666
Vertical_Copolar,1.275,23.520254779412667,0.1687262272813993,0.1687262272813993,-1347.6294756127222,9.651235121392485,9.651235121392485,0.008104481596625097,0.0010374522303680828,0.026853613101081305,OLS,Raw,s_AMP,1,0.9918848210074408,6.132137265562004e-05,0.9999964269505981,0.9999275913376904,3.306646684637065e-17,23.51,6.251049391450329,0.04484288075366838,0.04484288075366838,146.98176173665084,1.0543966623484813,1.0543966623484813
Vertical_Copolar,1.3,25.317066680377557,0.35217585149766073,0.35217585149766073,-1450.615079135608,20.149055389659992,20.149055389659992,0.01357527490245939,0.002151615456836782,0.05605052760344998,OLS,Raw,s_AMP,1,0.9610375186080626,0.0003060562384579493,0.9142525058074016,0.893610782135864,4.325494959938744e-17,23.06,6.1610468015343365,0.08570392181843935,0.08570392181843935,142.07964342192437,1.9764145678607508,1.9764145678607508
Horizontal_Copolar,0.9,23.934115338550786,0.03308062645506382,0.03342058275664783,-1371.4850909968204,1.8281810056222503,1.8889556019679614,0.03157880907774211,0.0003246528610387333,0.005319050946732264,OLS,Raw,s_AMP,500,0.9628620266644631,0.0013685658260803105,0.6944984275947172,0.43340126868876455,8.734929740391825e-25,33.31,3.2456478487790066,0.0044859842351140326,0.004532084891992618,108.11341626531896,0.1494293600437873,0.1509649855150146
