DATASET,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,METHOD,SMOOTH,WEIGHT,BOOTSTRAP,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_lambda,DZ_err_low_lambda,DZ_err_high_lambda,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_lam,DXY_lam_err_low,DXY_lam_err_high,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,1.15,26.399125543660524,0.3006869291399627,0.3006869291399627,-1512.5005780895392,17.199683563412727,17.199683563412727,0.0012415757337475798,0.01125251616327757,0.01125251616327757,OLS,Raw,s_AMP,1,0.9840552647113424,0.0002124758064693709,0.9912226297635052,0.9806242533581482,8.41228384635738e-19,26.07,4.813018349152967,0.05482044111300616,0.05482044111300616,125.47013924275392,1.4291091121662933,1.4291091121662933,0.00019760291524887426,0.001790893569607074,0.04785581109574753,0.005151508000538152,0.04668859535965642,1.2476009952661382
Horizontal_Copolar,1.175,24.674240108691304,0.16584714331810924,0.16584714331810924,-1413.8506481194383,9.48517998468985,9.48517998468985,0.0067936320435856585,0.006662965898865968,0.006662965898865968,OLS,Raw,s_AMP,1,0.9948770677028407,6.019695889509337e-05,0.9999997367303063,0.9999708747063956,2.4127024149737765e-18,25.51,5.283511298324447,0.03551295811567506,0.03551295811567506,134.80483736131552,0.9060865535616404,0.9060865535616404,0.0010812401212841522,0.0010604439584572525,0.026395392656747087,0.027582435493958724,0.027051925380244514,0.6733464666736182
Horizontal_Copolar,1.2,25.06391257636698,0.314617133503832,0.314617133503832,-1436.1605901568607,17.99295967253613,17.99295967253613,-0.021717485339256604,0.01166689433592011,0.01166689433592011,OLS,Raw,s_AMP,1,0.9927989415288732,7.615477803760077e-05,0.9996175333680992,0.9750686445483481,5.93662791609344e-18,24.98,5.41746190483596,0.06800320301838352,0.06800320301838352,135.34285171434456,1.6989039487295177,1.6989039487295177,0.003456445143268456,0.0018568439040925213,0.050072871978537624,0.08634199967884604,0.046383960724231184,1.25082034202387
Horizontal_Copolar,1.225,28.58520975466301,0.3835250849891141,0.3835250849891141,-1638.2121214842753,21.94060113962012,21.94060113962012,-0.044534738598784054,0.012011875550125223,0.012011875550125223,OLS,Raw,s_AMP,1,0.9677237844384832,0.00038181140638963426,0.9312201960739412,0.910829140359655,5.118690793681797e-18,24.47,5.05299895874352,0.06779561429616174,0.06779561429616174,123.66130433576821,1.6591521511401035,1.6591521511401035,0.0070879237873019115,0.001911749369607109,0.06103991307575678,0.17344149507527776,0.04678050707428595,1.4936466729637683
Horizontal_Copolar,1.25,28.125735314492417,0.26968643616707355,0.26968643616707355,-1611.5199757446258,15.426806624679315,15.426806624679315,0.16953563929181442,0.009281641726693443,0.009281641726693443,OLS,Raw,s_AMP,1,0.993465426998502,8.008932605636048e-05,0.9999028037787177,0.9717333170639332,1.3730760367163901e-17,23.98,5.322095493049965,0.05103144683729994,0.05103144683729994,127.64192716577368,1.2239074306120379,1.2239074306120379,0.02698243502353682,0.0014772191608112561,0.042921929400826654,0.6470387918644129,0.03542371547625392,1.0292678670318232
Horizontal_Copolar,1.275,27.869401983128707,0.24260821414861425,0.24260821414861425,-1596.7558721152902,13.878136950820346,13.878136950820346,0.09586987734819943,0.008246597338963671,0.008246597338963671,OLS,Raw,s_AMP,1,0.9900991670367215,0.00010199335079036237,0.9999926577933202,0.9999275913376904,3.5661795356143237e-17,23.51,5.5588611157446275,0.04839089725740776,0.04839089725740776,130.70624608389838,1.1378216496959788,1.1378216496959788,0.015258164873579666,0.0013124867301845386,0.03861229651644906,0.358719456177858,0.030856563026638504,0.9077750911017175
Horizontal_Copolar,1.3,29.708266015048743,0.36464406632374513,0.36464406632374513,-1702.2596859038863,20.861476629674268,20.861476629674268,0.11118799959667612,0.012400502638210095,0.012400502638210095,OLS,Raw,s_AMP,1,0.9628440023406414,0.0003840014414939595,0.8779320040918307,0.776789218251814,4.0630650430432136e-17,23.06,5.462165721319575,0.06704350629374403,0.06704350629374403,125.9627759690568,1.5460875034415378,1.5460875034415378,0.01769611974831067,0.001973601291695226,0.05803490562455297,0.40807252139604405,0.045511245786491905,1.3382849237021914
Horizontal_Cruzada,0.9,18.966625858211295,0.4276997643093731,0.4276997643093731,-726.9918692371072,24.425379117333197,24.425379117333197,0.6374359092010459,0.02716218962861166,0.02716218962861166,OLS,Raw,s_AMP,1,0.9344630521045723,0.005492948567405102,0.844048337126703,0.7296145311924568,2.3588469622590462e-26,33.31,4.036248354332027,0.09101790074561568,0.09101790074561568,134.44853502707258,3.0318311318364617,3.0318311318364617,0.10145107585362302,0.004322996744592958,0.06807053164907532,3.379335336684183,0.14399902156239144,2.267429409230699
Horizontal_Cruzada,1.0,16.894887687720946,0.39566712404407894,0.39566712404407894,-968.0972755411422,22.6193388692617,22.6193388692617,-0.3287931613926458,0.018008815771606627,0.018008815771606627,OLS,Raw,s_AMP,1,0.931417534185301,0.000674312644161359,0.6194463706142417,0.23252298760278184,1.2292348660811802e-20,29.98,5.149851348673382,0.12060612121529801,0.12060612121529801,154.3886594153408,3.615680552898014,3.615680552898014,0.052329056890450906,0.00286619204928248,0.06297237861056929,1.5688251255757182,0.08592843763748875,1.8879119107448672
Horizontal_Cruzada,1.05,15.27088663124749,0.5553798480515371,0.5553798480515371,-874.0965268571485,31.751738093372477,31.751738093372477,-1.1381003962498664,0.023686983282033367,0.023686983282033367,OLS,Raw,s_AMP,1,0.9866623970750301,0.0003467473693662738,0.6217022737772213,0.28703288956386624,1.0046249127915234e-19,28.55,5.800256956255423,0.21094687589608893,0.21094687589608893,165.6069799949916,6.022884041172329,6.022884041172329,0.18113430379801101,0.003769900476270697,0.08839144811102786,5.171384373433215,0.1076306585975284,2.5235758435698457
