DATASET,WEIGHT,SMOOTH,FREQ,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,Amplitude,False,1.2,-3.87118439874844,7.832411695461428,7.8403056912632305,-1427.5826222702547,-1428.9943637947024,-1426.1904176465441,0.0019107403395121345,0.003961489260539208,0.0036836271372872563,0.9934772225758816,6.898161831543567e-05,0.9995805228844749,0.9750686445483481,6.587943022949747e-18,24.98,-96.71265718933725,292.387486710198,292.58470007727,0.047735461915174776,0.051233254981296175,0.044291507571729394
Horizontal_Copolar,Amplitude,False,1.225,-4.327991706572112,8.747090211677087,8.757150487713167,-1593.075295360502,-1594.9197267181528,-1591.2483943116913,0.008266302035839966,0.016675600602084686,0.01639043210649884,0.978739159696669,0.000251505053985292,0.9542158697403907,0.910829140359655,6.846328500865023e-18,24.47,-105.91830791158108,319.9845670876149,320.2307707513712,0.2023000004812137,0.20579953365145967,0.1988206467750643
Horizontal_Copolar,Amplitude,False,1.25,-4.400837045222475,8.896829205126284,8.902601665296276,-1619.5608730241613,-1620.6139091744565,-1618.5579098602327,0.026504067032695557,0.00012639671355460513,0.00012215791863141867,0.9932120578540387,8.319468030351537e-05,0.9999904696106259,0.9966899221363298,1.3901450566553202e-17,23.98,-105.54702040357623,318.9232040684558,319.0616472703013,0.6356575522182853,0.6326261297031128,0.6327277904030312
Horizontal_Copolar,Amplitude,False,1.275,-4.284372819521168,8.66578064562918,8.671644706409886,-1578.3048978415366,-1579.3635014484853,-1577.2503778107455,0.0156432930962644,0.00013589287051059273,0.00013133656059421614,0.9924254535373457,7.802912919637633e-05,0.9999998485982552,0.9999275913376904,3.7618212676544214e-17,23.51,-100.73903204334441,304.4986932387953,304.6365756854862,0.3678228461602772,0.36462757889164615,0.36473471201707675
Horizontal_Copolar,Amplitude,False,1.3,-4.533477894488519,9.164240037577816,9.173461798051633,-1668.8309150357434,-1670.455249328166,-1667.1481086549688,0.018364112612282643,0.0001932432635655089,0.00018781320501308485,0.9712546041793317,0.0002970791830877079,0.9078853750708924,0.776789218251814,4.476080869447604e-17,23.06,-104.54634471364444,315.88250214191106,316.0951647757213,0.4234940353096165,0.4190376604652899,0.4191628828191757
Horizontal_Copolar,Amplitude,True,0.9,-3.7204729140272126,7.505886157157365,7.517152300888213,-1364.9835378039932,-1366.9877640853738,-1362.962868235445,0.038842471068127125,0.07798583838170438,0.07737483843417431,0.9567996448023368,0.0015919697411565306,0.6978089104045787,0.43340126868876455,1.6465267953906039e-24,33.31,-123.92996886873784,373.9530867045579,374.3283650291415,1.2938533195897461,1.303876255703798,1.2835236805806969
Horizontal_Copolar,Amplitude,True,0.925,-3.7838312565100147,7.635085557744772,7.645091718211259,-1389.0511484284366,-1390.854258651986,-1387.2092099515112,0.007392411739952995,0.0002759923596029872,0.0002620932015560441,0.9787848497800529,0.0007076811953658503,0.6899226619974976,0.32008079607738543,7.12268102408083e-24,32.41,-122.63395384285036,370.0870421019429,370.4113417172284,0.23958803092633138,0.23064311980475305,0.23109359145394479
Horizontal_Copolar,Amplitude,True,0.95,-3.3503775723169347,6.770767442627955,6.7796626676789735,-1232.648848880822,-1234.2489787104244,-1231.0484565776603,0.004109821509618969,0.008483690917595979,0.007947716772351232,0.984513808209297,0.00042234083330806003,0.9999810022065833,0.9952486432790446,7.351765213203447e-23,31.56,-105.72820290873332,319.3939938741869,319.6747013881351,0.1296940518220991,0.13802663797772974,0.12111284782748011
Horizontal_Copolar,Amplitude,True,0.975,-3.688528012281297,7.449285229997699,7.457714626736989,-1354.8276659442602,-1356.3276713612518,-1353.3661525466432,0.007879643790390583,0.0159837291508564,0.015535511952408411,0.9919788233567144,0.0002125692616286057,0.9204959566394455,0.6961099797485474,2.1692865304081986e-22,30.75,-113.4146542772989,342.46486242541226,342.72404904776397,0.24228284923955176,0.24918396615957564,0.2354022086579761
Horizontal_Copolar,Amplitude,True,1.0,-4.165246559743437,8.400549999728423,8.417725770281441,-1528.5430046725498,-1531.6714482065042,-1525.5292585239222,0.06653048076818807,0.1334634742547124,0.13266686262109767,0.9436682465093764,0.0014920786102185254,0.7952626818364573,0.43651137785735566,1.0824683984885654e-20,29.98,-124.8709504321529,376.71310372920124,377.2280203764146,1.994533636141683,2.0066006638623115,1.9827188478910363
Horizontal_Copolar,Amplitude,True,1.025,-3.8811585021623363,7.837402308290066,7.847809896383524,-1425.916386351112,-1427.8101211614494,-1424.0059529884861,0.0030742353830235814,0.006391266852384621,0.005910694732844959,0.968596027045819,0.0006373501480362692,0.973501789777636,0.9909672163282535,3.830705679350491e-21,29.25,-113.51629729276539,342.7449902037072,343.0493918053061,0.0899153738485084,0.09701668463054614,0.08296088980488125
Horizontal_Copolar,Amplitude,True,1.05,-4.238746202990334,8.55489220590109,8.56471519924094,-1555.6451008886754,-1557.3608445880661,-1553.8916688886166,0.011920577636850612,0.024087589779049418,0.023605875052838003,0.9786922831754988,0.0004764133416544546,0.9094916955877889,0.876094907225722,1.870296402503747e-20,28.55,-121.02325171739419,365.279648129978,365.56011092219427,0.34035231147916917,0.3473884263452977,0.33363466998094365
Horizontal_Copolar,Amplitude,True,1.075,-3.948481639953837,7.976441754660566,7.986072842345008,-1452.8086751617225,-1454.5837877164238,-1451.0779274352074,0.028366171140580664,0.05693623222047202,0.05653694259407083,0.9812119298794351,0.00031576676796596067,0.9094614185145826,0.6164200858085225,6.27858211417738e-20,27.89,-110.11395499624481,332.55833450540985,332.8269231054221,0.7910664344449619,0.7967524498930943,0.7856171923533067
Horizontal_Copolar,Amplitude,True,1.1,-3.6182816253131076,7.319906350388424,7.32555113866662,-1333.333576673652,-1334.3330856140203,-1332.3278948004113,0.00782436077879964,0.00014732257028549946,0.00014755934525060438,0.9943785927534098,8.889668883437608e-05,0.9304316392214164,0.8584975367198263,4.8809000421638307e-20,27.25,-98.61214019898651,298.1078417546915,298.2616840231288,0.21324403183228532,0.2092289231536701,0.20922247012196266
Horizontal_Copolar,Amplitude,True,1.125,-3.956661132214326,7.997971889169116,8.005175034647664,-1456.1717233046065,-1457.4647591503392,-1454.8665555741773,0.03366141054541416,0.00017848548173955703,0.00017661194032507488,0.9776464156355436,0.0003691512330651183,0.9781191781682274,0.9989311440437575,8.927504406382705e-20,26.65,-105.43797033774186,318.5696727083119,318.76162370283146,0.8970166228583851,0.8922603027438948,0.8923102292848559
Horizontal_Copolar,Amplitude,True,1.15,-4.057797759807659,8.202691999042106,8.20872046786824,-1493.2602121275806,-1494.318805892465,-1492.18196427957,0.00833223928732034,0.01679507397764065,0.01653468870545776,0.9863575871392333,0.00018179559724905165,0.9989406430623254,0.9981164707075931,9.008877559862592e-19,26.07,-105.78236212866364,319.6175966164694,319.7747522240662,0.21721239100782025,0.22061687073554737,0.2138289106681815
Horizontal_Copolar,Amplitude,True,1.175,-3.8670587832134293,7.8241103803504455,7.828303354038743,-1425.4125006730728,-1426.1549713526733,-1424.6622258182026,0.006760841618567722,0.013600387518202112,0.013446403794892332,0.9934660109910283,7.677756506994316e-05,0.9999991611560047,0.9999708747063956,3.241281408330982e-18,25.51,-98.66511130638665,298.29143322881856,298.3984138150606,0.17249781506205242,0.17450589590257148,0.1705771164214625
